Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6344387feb90c81a37c0e352,62ec4b4c7027e093f9048e5d,APPROVED,2022-10-10T15:21:39.221000Z,2022-10-10T15:28:17.005000Z,2022-10-10T16:21:46.392000,2022-10-10T15:28:17.380915Z,398,24A88432,52,1,100,31,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6344388101363d3fecdac3df,60bd381631ab0f24daafa5ac,APPROVED,2022-10-10T15:26:19.427000Z,2022-10-10T15:31:46.667000Z,2022-10-10T16:21:27.669000,2022-10-10T15:31:48.051470Z,328,24A88432,515,0,100,21,Male,White,Canada,Canada,Canada,English,Yes,Unemployed (and job seeking)
6344388356ea90ed11f08696,57be300e7eaea600014d2e4b,APPROVED,2022-10-10T15:21:43.518000Z,2022-10-10T15:30:08.960000Z,2022-10-10T16:21:46.499000,2022-10-10T15:30:09.384256Z,506,24A88432,574,4,100,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63443885c5838ab2a948eb9a,5cc2ecf5e2a25b001ad51820,APPROVED,2022-10-10T15:21:44.417000Z,2022-10-10T15:27:14.258000Z,2022-10-10T16:21:46.606000,2022-10-10T15:27:14.721696Z,330,24A88432,934,3,100,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63443888eda26779a171accc,605996d037bce4fb5488a375,APPROVED,2022-10-10T15:21:44.131000Z,2022-10-10T15:42:40.854000Z,2022-10-10T16:21:46.715000,2022-10-10T15:42:41.278211Z,1257,24A88432,364,5,99,27,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
63443888f45b2a9dc0c89ef2,5a4c334121bfa00001081a4e,APPROVED,2022-10-10T15:21:44.541000Z,2022-10-10T15:29:27.690000Z,2022-10-10T16:21:27.788000,2022-10-10T15:29:28.133778Z,464,24A88432,1364,7,99,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6344388a9da28d28dd0d2649,5f415bea2ba0682e7fc98fbf,APPROVED,2022-10-10T15:21:46.377000Z,2022-10-10T15:28:35.522000Z,2022-10-10T16:21:27.913000,2022-10-10T15:28:38.877505Z,410,24A88432,69,1,100,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6344388bd3d436c4b134cd9d,5eaeddb6a7e04f5af6b3e879,APPROVED,2022-10-10T15:21:47.201000Z,2022-10-10T15:28:54.086000Z,2022-10-10T16:21:46.823000,2022-10-10T15:28:59.378688Z,427,24A88432,740,1,100,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6344388e9b4f68fb340cd8cb,62fcedae37fcdac16269c7f0,APPROVED,2022-10-10T15:22:28.809000Z,2022-10-10T15:26:57.675000Z,2022-10-10T16:21:28.041000,2022-10-10T15:26:58.087659Z,269,24A88432,66,0,100,19,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63443890d247e3ca84e4c943,5f1ee65060d65004407af5ea,APPROVED,2022-10-10T15:21:54.423000Z,2022-10-10T15:27:05.482000Z,2022-10-10T16:21:28.158000,2022-10-10T15:27:05.963142Z,312,24A88432,255,0,100,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63443892747e127db6ef8717,542c1dd2fdf99b324f7632f0,APPROVED,2022-10-10T15:21:57.558000Z,2022-10-10T15:26:22.064000Z,2022-10-10T16:21:46.928000,2022-10-10T15:26:22.499834Z,265,24A88432,851,20,95,45,Female,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
634438962ab85d120ae4c9a3,587b3ddbac864a0001c9bd27,APPROVED,2022-10-10T15:22:01.398000Z,2022-10-10T15:27:03.937000Z,2022-10-10T16:21:28.268000,2022-10-10T15:27:04.434552Z,303,24A88432,721,1,100,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63443896c5838ab2a948eb9d,60ec44f29f8829150cbf07a2,APPROVED,2022-10-10T15:22:04.721000Z,2022-10-10T15:27:59.655000Z,2022-10-10T16:21:28.385000,2022-10-10T15:28:00.209437Z,355,24A88432,531,3,100,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6344389fcbb3c6899300eca0,628d4cb8fd0df0e4ef295837,APPROVED,2022-10-10T15:22:10.809000Z,2022-10-10T15:41:17.636000Z,2022-10-10T16:21:28.505000,2022-10-10T15:41:18.189698Z,1147,24A88432,135,0,100,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
634438a23132b4bbe9df3910,5a11b458ab721b0001ef8884,APPROVED,2022-10-10T15:22:13.046000Z,2022-10-10T15:27:19.305000Z,2022-10-10T16:21:28.627000,2022-10-10T15:27:21.920932Z,307,24A88432,913,10,99,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
634438a23f75b7d59948ebee,598b66390ea3200001521202,APPROVED,2022-10-10T15:27:08.402000Z,2022-10-10T15:33:19.652000Z,2022-10-10T16:21:47.036000,2022-10-10T15:33:20.035219Z,372,24A88432,1269,5,100,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
